"astro-ph/0009031","Fred Walter","Frederick M. Walter","The Proper Motion, Parallax, and Origin of the Isolated Neutron Star RX
  J185635-3754","Accepted by ApJ. Minor corrections to magnitude of space motions",,"10.1086/319058",,"astro-ph",,"  The isolated neutron star RX J185635-3754 is the closest known neutron star
to the Sun. Based on HST WFPC2 obervations over a 3 year baseline, I report its
proper motion (332 +/- 1 mas/yr at a position angle of 100.3 +/- 0.1 degrees)
and parallax (16.5 +/- 2.3 mas; 61 pc). This proper motion brings the neutron
star from the general vicinity of the Sco-Cen OB association. For an assumed
neutron star radial velocity between -55 and -60 km/s, the runaway O star zeta
Oph, the Upper Sco OB association, and the neutron star come into spatial
coincidence between 0.9 and 1.0 million years ago. RX J185635-3754 may be the
remnant of the original primary of the zeta Oph system. If so, the space
velocity suggests that the neutron star received a kick of about 200 km/s at
birth.
","[{""version"":""v1"",""created"":""Sat, 2 Sep 2000 18:42:22 GMT""},{""version"":""v2"",""created"":""Mon, 13 Nov 2000 20:18:41 GMT""}]","2009-10-31"
"astro-ph/0009032","Yipeng Jing","Y.P. Jing (Partner Group of MPA, Shanghai Observatory), G. Boerner
  (MPA, Garching)","Scaling properties of the redshift power spectrum: theoretical models","accepted for publication in ApJ;24 pages with 7 figures included","ApJ (2001) 547, 545","10.1086/318418",,"astro-ph",,"  We report the results of an analysis of the redshift power spectrum
$P^S(k,\mu)$ in three typical Cold Dark Matter (CDM) cosmological models, where
$\mu$ is the cosine of the angle between the wave vector and the line-of-sight.
Two distinct biased tracers derived from the primordial density peaks of
Bardeen et al. and the cluster-underweight model of Jing, Mo, & B\""orner are
considered in addition to the pure dark matter models. Based on a large set of
high resolution simulations, we have measured the redshift power spectrum for
the three tracers from the linear to the nonlinear regime. We investigate the
validity of the relation - guessed from linear theory - in the nonlinear regime
$$ P^S(k,\mu)=P^R(k)[1+\beta\mu^2]^2D(k,\mu,\sigma_{12}(k)), $$ where $P^R(k)$
is the real space power spectrum, and $\beta$ equals $\Omega_0^{0.6}/b_l$. The
damping function $D$ which should generally depend on $k$, $\mu$, and
$\sigma_{12}(k)$, is found to be a function of only one variable
$k\mu\sigma_{12}(k)$. This scaling behavior extends into the nonlinear regime,
while $D$ can be accurately expressed as a Lorentz function - well known from
linear theory - for values $D > 0.1$. The difference between $\sigma_{12}(k)$
and the pairwise velocity dispersion defined by the 3-D peculiar velocity of
the simulations (taking $r=1/k$) is about 15%. Therefore $\sigma_{12}(k)$ is a
good indicator of the pairwise velocity dispersion. The exact functional form
of $D$ depends on the cosmological model and on the bias scheme. We have given
an accurate fitting formula for the functional form of $D$ for the models
studied.
","[{""version"":""v1"",""created"":""Sun, 3 Sep 2000 06:54:33 GMT""},{""version"":""v2"",""created"":""Mon, 25 Sep 2000 08:18:20 GMT""}]","2009-10-31"
"astro-ph/0009033","Andrea de Luca","R.P. Mignani (1), P.A. Caraveo (2), A. De Luca (2) ((1) STECF-ESO,
  Garching, Germany, (2) IFC-CNR, Milan, Italy)","HST as a powerful astrometric tool for pulsar astronomy","5 pages, 2 PostScript figures, uses psfig.sty. To appear in the
  proceedings of A Decade of HST Science (Baltimore, USA, April 2000)",,,,"astro-ph",,"  Given their intrinsic faintness, isolated neutron stars represent an elusive
target for optical astronomy. Up to date, an optical counterpart has been
identified only for a very tiny fraction of the overall population of more than
1000 radio pulsars. The HST contributions to the optical studies of isolated
neutron stars have been recently reviewed by Mignani et al. (2000) and by
Caraveo et al. (these proceedings). Here, we review its specific contribution
in the field of pulsar astrometry and kinematics.
","[{""version"":""v1"",""created"":""Sun, 3 Sep 2000 10:46:34 GMT""}]","2007-05-23"
"astro-ph/0009034","Andrea de Luca","A. De Luca (1), R.P. Mignani (2), P.A. Caraveo (1) ((1) IFC-CNR,
  Milan, Italy, (2) STECF-ESO, Garching, Germany)","HST as a reliable astrometric tool for pulsar astronomy: the cases of
  the Vela and Geminga pulsars","4 pages, 2 PostScript figures, uses psfig.sty. To appear in the
  proceedings of A Decade of HST Science (Baltimore, USA, April 2000)",,,,"astro-ph",,"  The quest for the distance of the Vela and Geminga pulsars yielded, so far, a
set of four WFPC2 images for each object. The availability of couples of images
taken at the same period of the year, thus affected by the same parallactic
displacement, prompted us to use Vela and Geminga as test cases to assess the
reliability of HST astrometry.
","[{""version"":""v1"",""created"":""Sun, 3 Sep 2000 10:57:36 GMT""}]","2007-05-23"
"astro-ph/0009035","Andrea de Luca","P.A. Caraveo (1), R.P. Mignani (2), A. De Luca (1), S.Wagner (3), G.F.
  Bignami (4) ((1) IFC-CNR, Milan, Italy, (2) STECF-ESO, Garching, Germany, (3)
  LaundesSternwarte, Konigstuhl-Heidelberg, Germany, (4) ASI, Rome, Italy)","SNR0540-69 -the Crab twin- revisited: Chandra vs. HST","4 pages, 2 PostScript figures, uses psfig.sty. To appear in the
  proceedings of A Decade of HST Science (Baltimore, USA, April 2000)",,,,"astro-ph",,"  High resolution images of the Crab-like SNR SNR0540-69 have been recently
obtained by the HRC, on board the Chandra X-ray Observatory, and by the FORS1
instrument, attached to ESO/VLT1. A detailed comparison of these images with an
archival Planetary Camera one will be presented.
","[{""version"":""v1"",""created"":""Sun, 3 Sep 2000 11:27:58 GMT""}]","2007-05-23"
"astro-ph/0009036","Erik Kuulkers","Patricia T. Boyd, Alan P. Smale (NASA/GSFC), Jeroen Homan, Peter G.
  Jonker, Michiel van der Klis (Univ. Amsterdam, CHEAF) & Erik Kuulkers (SRON,
  Univ. Utrecht)","Canonical Timing and Spectral Behavior of LMC X-3 in the Low/Hard State","5 pages, 3 figures, accepted for ApJ Letters",,"10.1086/312931",,"astro-ph",,"  We present results from three observations with the Rossi X-ray Timing
Explorer (RXTE) of LMC X-3, obtained while the source was in an extended
'low/hard' state. The data reveal a hard X-ray spectrum which is well fit by a
pure power law with photon index Gamma=1.69+/-0.02, with a source luminosity at
50 kpc of 5-16x10^{36}erg/s (2--10 keV). Strong broad-band (0.01-100 Hz) time
variability is also observed, with fractional rms amplitude 40+/-4%, plus a
quasi-periodic oscillation (QPO) peak at 0.46+/-0.02 Hz with rms amplitude
\~14%. This is the first reported observation in which the full canonical
low/hard state behavior (pure hard power law spectrum combined with strong
broad-band noise and QPO) for LMC X-3 is seen. We reanalyze several archival
RXTE observations of LMC X-3 and derive consistent spectral and timing
parameters, and determine the overall luminosity variation between high/soft
and low/hard states. The timing and spectral properties of LMC X-3 during the
recurrent low/hard states are quantitatively similar to that typically seen in
the Galactic black hole candidates.
","[{""version"":""v1"",""created"":""Sun, 3 Sep 2000 12:32:19 GMT""}]","2009-10-31"
"astro-ph/0009037","Ezio Pignatelli","E. Pignatelli (1), G. Fasano (2) ((1) SISSA/ISAS, (2) Osservatorio
  Astronomico di Padova)","Morphological classification of high redshift galaxies","4 pages, 3 encapsulated figures. Proceedings of the Euroconference
  ""The Evolution of Galaxies.I- Observational clues."" held in Granada (Spain),
  23-27 May, 2000. To be published in a special issue of Astrophysics and Space
  Science journal","Astrophys.Space Sci. 277 (2001) 561-564",,,"astro-ph",,"  We present GASPHOT, a tool for automated surface photometry and morphological
classification of galaxies in deep and wide fields. The requirements for any
such tool are reviewed, and its use for the classification of high-z galaxies
is presented. In the case if HDF-like images, for galaxies having a magnitude
ranging from 24 to 27.5, the uncertainties on the photometric parameters
derived from GASPHOT are respectively 0.02-0.1 on magnitude, 0.03 on the
logarithm of the scale length, 0.02-0.5 on the Sersic index n used to classify
the surface brightness profile of the galaxies. A comparison with the results
achieved using Sextractor is presented.
","[{""version"":""v1"",""created"":""Sun, 3 Sep 2000 15:38:55 GMT""}]","2007-05-23"
"cond-mat/0009025","Ulrich S. Schwarz","U. S. Schwarz (1), G. Gompper (2) ((1) Weizmann Institute, Israel, (2)
  Forschungszentrum Juelich, Germany)","Stability of inverse bicontinuous cubic phases in lipid-water mixtures","Revtex, 4 pages with 3 EPS-figures included","Phys. Rev. Lett. 85: 1472-1475 (2000)","10.1103/PhysRevLett.85.1472",,"cond-mat.soft",,"  We investigate the stability of seven inverse bicontinuous cubic phases ($G$,
$D$, $P$, $C(P)$, $S$, $I-WP$, $F-RD$) in lipid-water mixtures based on a
curvature model of membranes. Lipid monolayers are described by parallel
surfaces to triply periodic minimal surfaces. The phase behavior is determined
by the distribution of the Gaussian curvature on the minimal surface and the
porosity of each structure. Only $G$, $D$ and $P$ are found to be stable, and
to coexist along a triple line. The calculated phase diagram agrees very well
with experimental results for 2:1 lauric acid/DLPC.
","[{""version"":""v1"",""created"":""Sat, 2 Sep 2000 18:15:00 GMT""}]","2009-10-31"
"cond-mat/0009026","Vadim Apalkov","V.M. Apalkov, Tapash Chakraborty","Influence of disorder and a parallel magnetic field on a Quantum Cascade
  Laser","3 pages, 3 figues",,"10.1063/1.1343495",,"cond-mat.mes-hall",,"  The luminescence spectra of a quantum cascade laser in a strong magnetic
field is influenced significantly by the presence of disorder (charged or
neutral) in the system. An externally applied magnetic field parallel to the
electron plane causes a red shift of the luminescence peak in the absence of
any disorder potential. Our results indicate that the disorder potential tends
to cancel that red shift and causes a rapid decrease of the luminescence peak.
A similar behavior was observed in a recent experiment on QCL in a parallel
magnetic field.
","[{""version"":""v1"",""created"":""Sat, 2 Sep 2000 18:18:24 GMT""}]","2009-10-31"
"cond-mat/0009027","Ulrich S. Schwarz","U. S. Schwarz, S. A. Safran (Weizmann Institute, Israel)","Phase behavior and material properties of hollow nanoparticles","Revtex, 13 pages with 8 Postscript files included, submitted to Phys.
  Rev. E","Phys. Rev. E 62: 6957 - 6967 (2000)","10.1103/PhysRevE.62.6957",,"cond-mat.soft cond-mat.mtrl-sci",,"  Effective pair potentials for hollow nanoparticles like the ones made from
carbon (fullerenes) or metal dichalcogenides (inorganic fullerenes) consist of
a hard core repulsion and a deep, but short-ranged, van der Waals attraction.
We investigate them for single- and multi-walled nanoparticles and show that in
both cases, in the limit of large radii the interaction range scales inversely
with the radius, $R$, while the well depth scales linearly with $R$. We predict
the values of the radius $R$ and the wall thickness $h$ at which the gas-liquid
coexistence disappears from the phase diagram. We also discuss unusual material
properties of the solid, which include a large heat of sublimation and a small
surface energy.
","[{""version"":""v1"",""created"":""Sat, 2 Sep 2000 18:59:35 GMT""}]","2009-10-31"
"cond-mat/0009028","Vadim Apalkov","Vadim Apalkov, Tapash Chakraborty","Luminescence Spectra of a Quantum-Dot Cascade Laser","5 pages, 4 figures",,"10.1063/1.1357808",,"cond-mat.mes-hall",,"  A quantum cascade laser where the quantum wells in the active regions are
replaced by quantum dots with their atom-like discrete energy levels is an
interesting system to study novel features in optical spectroscopy. We study
structures suitable for diagonal lasing transitions in coupled dots, and
vertical lasing transitions in a single dot, in the active regions of the laser
device. The luminescence spectra as a function of electron number and dot size
show that for diagonal transitions, a significant amount of blue-shift in the
emission spectra can be achieved by increasing electron population in the
quantum dots as well as by decreasing the size of the dots.
","[{""version"":""v1"",""created"":""Sat, 2 Sep 2000 20:05:36 GMT""}]","2009-10-31"
"cond-mat/0009029","David P. Belanger","D. P. Belanger","Experimental Characterization of the Ising Model in Disordered
  Antiferromagnets","19 pages, 7 figures, Ising Centennial Colloquium, to be published in
  the Brazilian Journal of Physics",,,,"cond-mat.dis-nn cond-mat.stat-mech",,"  The current status of experiments on the d=2 and d=3 random-exchange and
random-field Ising models, as realized in dilute anisotropic antiferromagnets,
is discussed. Two areas of current investigation are emphasized. For d=3, the
large random field limit is being investigated and equilibrium critical
behavior is being characterized at high magnetic concentrations.
","[{""version"":""v1"",""created"":""Sun, 3 Sep 2000 03:13:52 GMT""}]","2007-05-23"
