"astro-ph/0007003","Atsushi Okada","Super-Kamiokande Collaboration","Searches for astronomical neutrino sources and WIMPs with
  Super-Kamiokande","12 pages, contributed paper to 30th International Conference on High
  Energy Physics",,,,"astro-ph",,"  Searches for astronomical neutrino sources and weakly interactive massive
particles (WIMPs) using the Super-Kamiokande detector have been performed. We
select the neutrino-induced upward muon events for the first 4 years, which is
already the world largest data sample, and look for statistically significant
excesses compared to the atmospheric neutrino background. No excess has been
found so far. Limits of upward muon flux from various potential sources are
obtained. Also limits of upward muon flux due to annihilations of WIMPs in the
Earth core, the Sun and the Galactic center are obtained as a function of WIMP
masses.
","[{""version"":""v1"",""created"":""Sun, 2 Jul 2000 01:26:08 GMT""},{""version"":""v2"",""created"":""Tue, 4 Jul 2000 03:42:13 GMT""}]","2007-05-23"
"astro-ph/0007006","Eva K. Grebel","E.K. Grebel, P. Seitzer, A.E. Dolphin, D. Geisler, P. Guhathakurta,
  P.W. Hodge, I.D. Karachentsev, V.E. Karachentseva, A. Sarajedini","A Dwarf Galaxy Survey in the Local Volume","To appear in ``Stars, Gas, and Dust in Galaxies: Exploring the
  Links'', CTIO/ESO/LCO Workshop, La Serena, Chile, March 2000; Eds. D. Alloin,
  K. Olsen, & G. Galaz, ASP Conf. Ser., 4 pages text. Uses newpasp.sty","2000, in ``Stars, Gas, and Dust in Galaxies: Exploring the
  Links'', ASP Conf. Ser. Vol. 221,Eds. D. Alloin, K. Olsen, & G. Galaz (Provo:
  ASP), 147-151",,,"astro-ph",,"  We are carrying out a comprehensive multi-wavelength study of dwarf galaxies
in the Local Volume (< 5 Mpc). After our all-sky survey more than doubled the
dwarf census we are now measuring structural parameters, integrated properties,
and velocities. Our 200-orbit HST snapshot program yields stellar content, star
formation history, and TRGB distances. We can thus study the morphology-density
relation in galaxy groups in three dimensions, the influence of environment on
galaxy evolution, and the universality of the metallicity-surface
brightness-luminosity relation.
","[{""version"":""v1"",""created"":""Sat, 1 Jul 2000 21:18:26 GMT""}]","2007-05-23"
"astro-ph/0007007","Yoichi Takeda","Y. Takeda, M. Takada-Hidai, S. Sato, W.L.W. Sargent, L. Lu, T.A.
  Barlow, and J. Jugaku","Oxygen Abundance Determination in Very Metal-Deficient Giants: Permitted
  O I Lines Versus Forbidden [O I] Lines","24 pages (including 3 tables and 5 figures), 5 postscript figures
  incorporated with ""\includegraphics"" command, formatted in LaTeX2e using
  aastex macro (v5.0) and graphics.sty",,,,"astro-ph",,"  The abundance of oxygen was determined for selected very metal-poor G-K stars
(six giants and one turn-off star) based on the high S/N and high-resolution
spectra observed with Keck HIRES in the red through near-IR region comprising
the permitted O I lines (7771-5, 8446) along with the [O I] forbidden line at
6363 A. It turned out that both the abundances from the permitted line
features, O I 7771-5 and O I 8446, agree quite well with each other, while the
forbidden line yields somewhat discrepant and divergent abundances with a
tendency of being underestimated on the average. The former (7773/8446)
solution, which we believe to be more reliable, gives a fairly tight [O/Fe] vs.
[Fe/H] relation such that increasing steadily from [O/Fe] = 0.6 (at [Fe/H] =
-1.5) to [O/Fe] = 1.0 (at [Fe/H] = -3.0), in reasonable consistency with the
trend recently reported based on the analysis of the UV OH lines. We would
suspect that some kind of weakening mechanism may occasionally act on the
formation of [O I] forbidden lines in metal-poor stars. Therefore, [O I] lines
may not be so a reliable abundance indicator as has been generally believed.
","[{""version"":""v1"",""created"":""Sun, 2 Jul 2000 04:10:19 GMT""}]","2007-05-23"
"astro-ph/0007008","Mohsen Shadmehri","Mohsen Shadmehri and Jamshid Ghanbari","Radiative Cooling Flows of Self-Gravitating Filamentary Clouds","6 pages, Revised Version, Accepted by the Astrophysics and Space
  Science","Astrophys.Space Sci. 278 (2001) 347-355","10.1023/A:1013177820161",,"astro-ph",,"  We study the dynamics of a self-gravitating cooling filamentary cloud using a
simplified model. We concentrate on the radial distribution and restrict
ourselves to quasi-hydrostatic, cylindrically symmetric cooling flows. For a
power-law dependence of cooling function on the temperature, self-similar
solutions which describe quasi-hydrostatic cooling flows are derived. We
consider obtically thin filaments with a constant mass per unit length and the
solutions are parameterized by their line masses. There is no polytropic
relation between the density and the pressure. The filament experiences
radiative condensation, irrespective of the \gamma, the gas specific heat
ratio. So, the filament becomes denser due to the quasi-hydrostatic flows and
the density at the center increases in proportion to (t_{0}-t)^{-1}, where t
denotes the time. The term, t_{0}, denotes an epoch at which the central
density increases infinitely. We also found that the radius of the filament
decreases in proportion to (t_{0}-t)^{0.5}.
","[{""version"":""v1"",""created"":""Sun, 2 Jul 2000 07:57:18 GMT""},{""version"":""v2"",""created"":""Tue, 30 Jan 2001 12:40:59 GMT""}]","2009-10-31"
"astro-ph/0007009","Alexander A. Panferov","Alexander Panferov, Maciej Mikolajewski","Magnetic propeller in symbiotic stars","6 pages, 4 figures, presented at JENAM, May 29 - June 3, 2000",,,,"astro-ph",,"  Rapidly spinning magnetic white dwarfs in symbiotic stars may pass through
the propeller stage. It is believed that a magnetic propeller acts in two such
stars CH Cyg and
  MWC 560. We review a diversity of manifestations of the propeller there. In
these systems in a quiescent state the accretion onto a white dwarf from the
strong enough wind of a companion star is suppressed by the magnetic field, and
the hot component luminosity is low. Since the gas stored in the envelope
eventually settles to the corotation radius the star-propeller reveals itself
by long-time outbursts, short-time brightness dips, strong amplitude
flickering, ejection of a powerful wind and jets. The envelope appears to be
stratified and inhomogeneous because of the shock pumping of the propeller. At
this stage, at which catastrophic transitions to the accretion stage and back
are possible, the release of energy and angular momentum of the white dwarf is
maximum. Using this property, we estimate the magnetic field strength of the
white dwarfs in CH Cyg and MWC 560 to be of order $10^8$ G.
  The most spectacular property of these stars - jets - is inherently connected
with the propeller. This suggests hydromagnetic models of jet acceleration.
","[{""version"":""v1"",""created"":""Sun, 2 Jul 2000 09:51:37 GMT""}]","2007-05-23"
"cond-mat/0007010","Horacio Ceva","E. Burgos, Horacio Ceva, R.P.J. Perazzo","Quenching and Annealing in the Minority Game","8 pages, 4 figures",,"10.1016/S0378-4371(01)00136-4",,"cond-mat",,"  We report the occurrence of quenching and annealing in a version of the
Minority Game (MG) in which the winning option is to join a given fraction of
the population that is a free, external parameter. We compare this to the
different dynamics of the Bar Attendance Model (BAM) where the updating of the
attendance strategy makes use of all available information about the system and
quenching does not occur. We provide an annealing schedule by which the
quenched configuration of the MG reaches equilibrium and coincides with the one
obtained with the BAM
","[{""version"":""v1"",""created"":""Sat, 1 Jul 2000 19:48:59 GMT""}]","2009-10-31"
"cond-mat/0007011","Alex Hansen","Alex Hansen, Jean Schmittbuhl and George Batrouni","Distinguishing fractional and white noise in one and two dimensions","3 pages RevTeX, 4 Postscript figures",,"10.1103/PhysRevE.63.062102",,"cond-mat",,"  We discuss the link between uncorrelated noise and Hurst exponent for one and
two-dimensional interfaces. We show that long range correlations cannot be
observed using one-dimensional cuts through two-dimensional self-affine
surfaces whose height distributions are characterized by a Hurst exponent lower
than -1/2. In this domain, fractional and white noise are not distinguishable.
A method analysing the correlations in two dimensions is necessary. For Hurst
exponents larger than -1/2, a crossover regime leads to a systematic over
estimate of the Hurst exponent.
","[{""version"":""v1"",""created"":""Sun, 2 Jul 2000 11:55:16 GMT""}]","2009-10-31"
"cond-mat/0007012","Sakai Toru","Toru Sakai","Field-induced long-range order in the S=1 antiferromagnetic chain","4 pages, Revtex, with 6 eps figures",,"10.1103/PhysRevB.62.R9240",,"cond-mat.stat-mech cond-mat.str-el",,"  The quasi-one dimensional S=1 antiferromagnet in magnetic field H is
investigated with the exact diagonalization of finite chains and the mean field
approximation for the interchain interaction. In the presence of the single-ion
anisotropy D, the full phase diagram in the $HT$ plane is presented for H
\parallel D and H \perp D. The shape of the field-induced long-range ordered
phase is revealed to be quite different between the two cases, as observed in
the recent experiment of NDMAP. The estimated ratio of the interchain and
intrachain couplings of NDMAP (J'/J ~ 10^{-3}) is consistent with the neutron
scattering measurement.
","[{""version"":""v1"",""created"":""Sun, 2 Jul 2000 14:20:46 GMT""}]","2009-10-31"
"cond-mat/0007013","Ruslan Prozorov","R. Prozorov, R. W. Giannetta, A. Carrington, P. Fournier, R. L.
  Greene, D.G. Hinks, A. R. Banks","Measurements of the absolute value of the penetration depth in high-$
  T_c$ superconductors using a tunnel diode resonator","RevTex 4 (beta 4). 4 pages, 4 EPS figures. Submitted to Appl. Phys.
  Lett",,"10.1063/1.1328362",,"cond-mat.supr-con cond-mat.str-el",,"  A method is presented to measure the absolute value of the London penetration
depth, $\lambda$, from the frequency shift of a resonator. The technique
involves coating a high-$T_c$ superconductor (HTSC) with film of low - Tc
material of known thickness and penetration depth. The method is applied to
measure London penetration depth in YBa2Cu3O{7-\delta} (YBCO)
Bi2Sr2CaCu2O{8+\delta} (BSCCO) and Pr{1.85}Ce{0.15}CuO{4-\delta}$ (PCCO). For
YBCO and BSCCO, the values of $\lambda (0)$ are in agreement with the
literature values. For PCCO $\lambda \approx 2790$ \AA, reported for the first
time.
","[{""version"":""v1"",""created"":""Sun, 2 Jul 2000 14:25:09 GMT""}]","2009-10-31"
"hep-ex/0007001","Ia Iashvili","Ia Iashvili (For the LEP Collaborations)","MSSM SUSY Searches at LEP2","Talk presented at 35th Rencontres de Moriond: ElectroWeak
  Interactions and Unified Theories, Les Arcs, Savoie, France, March 11-18,
  2000. LaTex, 8 pages, uses moriond.sty",,,,"hep-ex hep-ph",,"  The status of SUSY searches at LEP2 up to centre-of-mass energy of 202 GeV is
presented. Search strategies for sleptons, squarks, charginos and neutralinos
are discussed in the framework of Minimal Supersymmetric Standard Model with
R-parity conservation. With no indication for the production of these particles
new limits are set on their masses.
","[{""version"":""v1"",""created"":""Sun, 2 Jul 2000 01:41:26 GMT""}]","2007-05-23"
